,product name,Product_url,Product_price,description,review_count
0,Ubtan Face Wash 150 ml (Pack of 2),https://mamaearth.in//product/ubtan-face-wash-150-ml-pack-of-2,₹750,Removes Tan | Brightens Skin,★ 4.7    47 Reviews
1," Ubtan Facewash for tan removal, Pack Of 2 - 100ml*2",https://mamaearth.in//product/ubtan-facewash-for-tan-removal-pack-of-2,₹518,Removes Tan | Brightens Skin,★ 4.8    187 Reviews
2,Charcoal Face Wash and Scrub Combo - 100ml + 100ml,https://mamaearth.in//product/charcoal-face-wash-scrub-combo,₹608,Unclogs Pores| Controls Excess Oil|Makes Skin Glow,★ 4.9    42 Reviews
3,"Tea Tree Facewash for acne and pimples, Pack Of 2 - 100ml*2",https://mamaearth.in//product/tea-tree-facewash-for-acne-and-pimples-pack-of-2,₹508,Purifies Skin | Controls Acne & Pimples,★ 4.9    83 Reviews
4,Multani Mitti Face Wash with Multani Mitti & Bulgarian Rose For Oil Control & Acne - 100 ml - Pack of 2,https://mamaearth.in//product/multani-mitti-face-wash-with-multani-mitti-bulgarian-rose-for-oil-control-acne-100-ml-pack-of-2,₹518,Controls Oil & Acne | Promotes Hydration,★ 5.0    37 Reviews
5,Vitamin C Daily Glow Duo - 50gm + 80gm,https://mamaearth.in//product/vitamin-c-daily-glow-duo,₹598,SPF 50 & PA+++ Protection | Illuminates Skin,★ 5.0    14 Reviews
6,Vitamin C Daily Glow Sunscreen With Vitamin C & Turmeric for Sun Protection & Glow - 50 g - Pack of 2,https://mamaearth.in//product/vitamin-c-daily-glow-sunscreen-with-vitamin-c-turmeric-for-sun-protection-glow-50-g-pack-of-2,₹698,SPF 50 & PA+++ Protection | Adds Natural Glow,★ 4.9    38 Reviews
7,Onion Anti- Hair Fall Duo - 250ml + 600ml,https://mamaearth.in//product/onion-anti-hair-fall-duo,₹1348,Boosts Hair Growth | Strengthens Hair,★ 5.0    14 Reviews
8,Daily Glow Combo - 100ml + 50gm,https://mamaearth.in//product/daily-glow-combo,₹608,SPF 50 & PA+++ Protection | Adds Natural Glow,★ 4.9    51 Reviews
9,Perfect Summer Combo - 80gm + 100ml,https://mamaearth.in//product/perfect-summer-combo,₹758,SPF 50 Sun Protection | Adds Glow to Skin,★ 4.9    43 Reviews
10,"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric and SPF 50 PA+++ - 80ml - Pack of 2",https://mamaearth.in//product/ultra-light-indian-sunscreen-with-carrot-seed-turmeric-and-spf-50-pa-80ml-pack-of-2,₹998,Packed with SPF 50 | Long Lasting Sun Protection,★ 4.8    46 Reviews
11,Ace the Base Combo - 9gm + 30ml,https://mamaearth.in//product/ace-the-base-combo,₹1098,Mamaearth Glow Serum Foundation + Glow Oil Control Compact - Nude Glow,★ 5.0    6 Reviews
12,Sunscreen Body Lotion SPF 30 - 300 ml | Aloe Vera Pack of 2,https://mamaearth.in//product/sunscreen-body-lotion-spf-30-300-ml-aloe-vera-pack-of-2,₹798,Gives a Youthful Glow | Sun Protection with SPF 30,★ 4.9    46 Reviews
13,Sunscreen Body Lotion with SPF 30 - 300 ml | Vitamin C Pack of 2,https://mamaearth.in//product/sunscreen-body-lotion-with-spf-30-300-ml-vitamin-c-pack-of-2,₹798,SPF 30 Sun Protection | Deeply Moisturizes Skin,★ 4.9    19 Reviews
14,Sunscreen Body Lotion SPF 30 - 300 ml | Ubtan Pack of 2,https://mamaearth.in//product/sunscreen-body-lotion-spf-30-300-ml-ubtan-pack-of-2,₹798,SPF 30 Sun Protection | Adds Glow to Skin,★ 5.0    49 Reviews
15,Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair - 300 ml (Pack of 2),https://mamaearth.in//product/aloe-vera-gel-with-pure-aloe-vera-vitamin-e-for-skin-and-hair-300-ml-pack-of-2,₹638,Hydrates Skin | Soothes Irritated Skin,★ 5.0    19 Reviews
16,Rice Face Wash With Rice Water & Niacinamide for Glass Skin - 100 ml (Pack of 2) ,https://mamaearth.in//product/rice-face-wash-with-rice-water-niacinamide-for-glass-skin-100-ml-pack-of-2,₹518,Gently Cleanses Skin | Hydrates Skin,★ 4.5    26 Reviews
17,Vitamin C Daily Glow Face Cream - 80 g - Pack of 2,https://mamaearth.in//product/vitamin-c-daily-glow-face-cream-80-g-pack-of-2,₹498,Brightens Skin | Moisturizes Skin,★ 5.0    40 Reviews
18,Ubtan Face Wash 150 ml (Pack of 2),https://mamaearth.in//product/ubtan-face-wash-150-ml-pack-of-2,₹750,Removes Tan | Brightens Skin,★ 4.7    47 Reviews
19," Ubtan Facewash for tan removal, Pack Of 2 - 100ml*2",https://mamaearth.in//product/ubtan-facewash-for-tan-removal-pack-of-2,₹518,Removes Tan | Brightens Skin,★ 4.8    187 Reviews
20,Charcoal Face Wash and Scrub Combo - 100ml + 100ml,https://mamaearth.in//product/charcoal-face-wash-scrub-combo,₹608,Unclogs Pores| Controls Excess Oil|Makes Skin Glow,★ 4.9    42 Reviews
21,"Tea Tree Facewash for acne and pimples, Pack Of 2 - 100ml*2",https://mamaearth.in//product/tea-tree-facewash-for-acne-and-pimples-pack-of-2,₹508,Purifies Skin | Controls Acne & Pimples,★ 4.9    83 Reviews
22,Multani Mitti Face Wash with Multani Mitti & Bulgarian Rose For Oil Control & Acne - 100 ml - Pack of 2,https://mamaearth.in//product/multani-mitti-face-wash-with-multani-mitti-bulgarian-rose-for-oil-control-acne-100-ml-pack-of-2,₹518,Controls Oil & Acne | Promotes Hydration,★ 5.0    37 Reviews
23,Vitamin C Daily Glow Duo - 50gm + 80gm,https://mamaearth.in//product/vitamin-c-daily-glow-duo,₹598,SPF 50 & PA+++ Protection | Illuminates Skin,★ 5.0    14 Reviews
24,Vitamin C Daily Glow Sunscreen With Vitamin C & Turmeric for Sun Protection & Glow - 50 g - Pack of 2,https://mamaearth.in//product/vitamin-c-daily-glow-sunscreen-with-vitamin-c-turmeric-for-sun-protection-glow-50-g-pack-of-2,₹698,SPF 50 & PA+++ Protection | Adds Natural Glow,★ 4.9    38 Reviews
25,Onion Anti- Hair Fall Duo - 250ml + 600ml,https://mamaearth.in//product/onion-anti-hair-fall-duo,₹1348,Boosts Hair Growth | Strengthens Hair,★ 5.0    14 Reviews
26,Daily Glow Combo - 100ml + 50gm,https://mamaearth.in//product/daily-glow-combo,₹608,SPF 50 & PA+++ Protection | Adds Natural Glow,★ 4.9    51 Reviews
27,Perfect Summer Combo - 80gm + 100ml,https://mamaearth.in//product/perfect-summer-combo,₹758,SPF 50 Sun Protection | Adds Glow to Skin,★ 4.9    43 Reviews
28,"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric and SPF 50 PA+++ - 80ml - Pack of 2",https://mamaearth.in//product/ultra-light-indian-sunscreen-with-carrot-seed-turmeric-and-spf-50-pa-80ml-pack-of-2,₹998,Packed with SPF 50 | Long Lasting Sun Protection,★ 4.8    46 Reviews
29,Ace the Base Combo - 9gm + 30ml,https://mamaearth.in//product/ace-the-base-combo,₹1098,Mamaearth Glow Serum Foundation + Glow Oil Control Compact - Nude Glow,★ 5.0    6 Reviews
30,Sunscreen Body Lotion SPF 30 - 300 ml | Aloe Vera Pack of 2,https://mamaearth.in//product/sunscreen-body-lotion-spf-30-300-ml-aloe-vera-pack-of-2,₹798,Gives a Youthful Glow | Sun Protection with SPF 30,★ 4.9    46 Reviews
31,Sunscreen Body Lotion with SPF 30 - 300 ml | Vitamin C Pack of 2,https://mamaearth.in//product/sunscreen-body-lotion-with-spf-30-300-ml-vitamin-c-pack-of-2,₹798,SPF 30 Sun Protection | Deeply Moisturizes Skin,★ 4.9    19 Reviews
32,Sunscreen Body Lotion SPF 30 - 300 ml | Ubtan Pack of 2,https://mamaearth.in//product/sunscreen-body-lotion-spf-30-300-ml-ubtan-pack-of-2,₹798,SPF 30 Sun Protection | Adds Glow to Skin,★ 5.0    49 Reviews
33,Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair - 300 ml (Pack of 2),https://mamaearth.in//product/aloe-vera-gel-with-pure-aloe-vera-vitamin-e-for-skin-and-hair-300-ml-pack-of-2,₹638,Hydrates Skin | Soothes Irritated Skin,★ 5.0    19 Reviews
34,Rice Face Wash With Rice Water & Niacinamide for Glass Skin - 100 ml (Pack of 2) ,https://mamaearth.in//product/rice-face-wash-with-rice-water-niacinamide-for-glass-skin-100-ml-pack-of-2,₹518,Gently Cleanses Skin | Hydrates Skin,★ 4.5    26 Reviews
35,Vitamin C Daily Glow Face Cream - 80 g - Pack of 2,https://mamaearth.in//product/vitamin-c-daily-glow-face-cream-80-g-pack-of-2,₹498,Brightens Skin | Moisturizes Skin,★ 5.0    40 Reviews
36,Ubtan Face Wash 150 ml (Pack of 2),https://mamaearth.in//product/ubtan-face-wash-150-ml-pack-of-2,₹750,Removes Tan | Brightens Skin,★ 4.7    47 Reviews
37," Ubtan Facewash for tan removal, Pack Of 2 - 100ml*2",https://mamaearth.in//product/ubtan-facewash-for-tan-removal-pack-of-2,₹518,Removes Tan | Brightens Skin,★ 4.8    187 Reviews
38,Charcoal Face Wash and Scrub Combo - 100ml + 100ml,https://mamaearth.in//product/charcoal-face-wash-scrub-combo,₹608,Unclogs Pores| Controls Excess Oil|Makes Skin Glow,★ 4.9    42 Reviews
39,"Tea Tree Facewash for acne and pimples, Pack Of 2 - 100ml*2",https://mamaearth.in//product/tea-tree-facewash-for-acne-and-pimples-pack-of-2,₹508,Purifies Skin | Controls Acne & Pimples,★ 4.9    83 Reviews
40,Travel Essentials Duo,https://mamaearth.in//product/travel-essential-duo,₹798,Travel-Friendly | Long Stay,★ 5.0    10 Reviews
41,Soft Matte Long Stay Lipstick Duo ( 3.5 g X 2),https://mamaearth.in//product/soft-matte-long-stay-lipstick-duo-3-5-g-x-2,₹798,12-Hour Long Stay | Comfortable Matte Finish,★ 5.0    10 Reviews
42,Party Ready Duo,https://mamaearth.in//product/party-ready-duo,₹748,Travel-Friendly | Long Stay,★ 5.0    20 Reviews
43,Feather Light Liquid Matte Mini Lipstick Duo(1.2 ml X 2),https://mamaearth.in//product/feather-light-liquid-matte-mini-lipstick-duo-1-2-ml-x-2,₹498,16-Hour Long Stay | Weightless & Non-Drying | Made Safe Certified,★ 5.0    10 Reviews
44,On The Go Duo,https://mamaearth.in//product/on-the-go-duo,₹798,Travel-Friendly | Long Stay,★ 5.0    10 Reviews
45,Multani Mitti Acne Control Combo - 100ml + 100gm,https://mamaearth.in//product/multani-mitti-acne-control-combo,₹608,Gently Cleanses | Prevents Acne,★ 5.0    57 Reviews
46,Multani Mitti Face Wash with Multani Mitti & Bulgarian Rose For Oil Control & Acne - 100 ml - Pack of 2,https://mamaearth.in//product/multani-mitti-face-wash-with-multani-mitti-bulgarian-rose-for-oil-control-acne-100-ml-pack-of-2,₹518,Controls Oil & Acne | Promotes Hydration,★ 5.0    37 Reviews
47,Everyday Glow Duo,https://mamaearth.in//product/everyday-glow-duo,₹728,Long-Lasting Natural Coverage | SPF 30 PA++ | Lightweight & Hydrating,★ 5.0    10 Reviews
